2021-12-14 12:19:24+00:00,1470730136928591876,Sir-Rap-A-Lot,b'RT @ItsJeffreyJeff: Book your dental appointments with @MoonlightDenta1 and you will never regret your decision..they offer a wide variety\xe2\x80\xa6'
2021-12-14 12:19:12+00:00,1470730087200743426,Vijayraghavan,b'@parthDnaik @FirdosSheikh2 @khanumarfa @public @TIME I think she is paid for doing this.Perhaps out of work other\xe2\x80\xa6 https://t.co/g0u4t6t9ds'
2021-12-14 12:18:20+00:00,1470729870011506699,Mesack Abednego,"b'@Osama_otero @Thee_mavERIC I almost typed ""sayona haiwezi ivisha"" \xf0\x9f\x98\x82 https://t.co/7B6g5CW0Sd'"
2021-12-14 12:18:13+00:00,1470729840739426305,Bottom of the pyramid,b'@J1nmori @Osama_otero @Reggaewailer @JamieButon Ignore fake news bro \xf0\x9f\x98\xad\xf0\x9f\x98\x82'
2021-12-14 12:17:16+00:00,1470729602003832833,Sir-Rap-A-Lot,"b'RT @osoroKE: Work in silence on my pinned tweet, the enemy is on a vacation in Cape Town using employees salaries.'"
2021-12-14 12:15:10+00:00,1470729073991299082,Lilo,b'@Osama_otero Ukona option ya kwenda to a different event.'
2021-12-14 12:14:39+00:00,1470728944701911043,olisketchestonight,"b'Obama ignored his previous President recommendations, if the previous administration says the virus is Chinese, why\xe2\x80\xa6 https://t.co/0VNIh1S4Lj'"
2021-12-14 12:13:44+00:00,1470728712006086657,Sir-Rap-A-Lot,"b""RT @BravinYuri: Kama hauna homa sahii hii Nairobi, either uko Illuminati or you don't stand with others during their worst moments. \xf0\x9f\xa4\xa3"""
2021-12-14 12:13:09+00:00,1470728565612240898,Keeping the faith,"b'RT @LehiRed: What do Adolf Hitler,  Muammar Gaddafi, Saddam Hussein, Fidel Castro, Kim Jong-un, Osama bin Laden, Ebrahim Raisi (all enemies\xe2\x80\xa6'"
2021-12-14 12:12:42+00:00,1470728452382896128,EL Patrón,"b""RT @CollinsBriche: @ed_kemboi @Osama_otero I hadn't gone too technical on my question though. I was asking mostly laymen. But it's ok."""
2021-12-14 12:11:53+00:00,1470728246685798401,Usama Aftab,b'For the last time in 2021 \xf0\x9f\xa4\xa1\n\nhttps://t.co/WuLytsqfh9'
2021-12-14 12:08:31+00:00,1470727397737570304,Osama Shahid,b'@elonmusk Lol why don\xe2\x80\x99t you start accepting dodgecoin for @Tesla first?'
2021-12-14 12:07:45+00:00,1470727208641642497,Chris Totten,b'@osamadorias Osama it\xe2\x80\x99s too early for this'
2021-12-14 12:07:32+00:00,1470727152605798400,Panther Savage 👩🤍🐱,"b'@wegesawegesa @_Humphreymugo1 @Osama_otero \xf0\x9f\xa4\xa3i hot stuck at ""wtf are you saying""'"
2021-12-14 12:07:15+00:00,1470727081218748425,Kenn,"b""@Osama_otero It's not."""
2021-12-14 12:07:09+00:00,1470727057533550597,Almasi Kimberly Kipro,b'@Kariuki_C_ @Osama_otero \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 joks ka hizi ni sweet and many others'
2021-12-14 12:06:56+00:00,1470726999048134659,t 🎧,b'RT @ihythreat: not Osama Bin Laden tryna get some Whit https://t.co/mfA72MRfey'
2021-12-14 12:06:29+00:00,1470726889568448513,Sir-Rap-A-Lot,b'@Kamarakip Not more than 15k'
2021-12-14 12:05:45+00:00,1470726705342029834,OSAMA🔰 🇱🇾,"b""@BaseboxSA @HassanNatha It's just a wish"""
2021-12-14 12:05:21+00:00,1470726601356812292,Juan,b'That Inoue link was harder to find than Osama #InoueDipaen'
2021-12-14 12:04:13+00:00,1470726318518112261,Rodgers #LM7,"b""RT @MoseLaGod: I can't wait to see @Osama_otero @ItsJeffreyJeff and @_CrazyNairobian  start a business together. 2022 is your year guys."""
2021-12-14 12:04:12+00:00,1470726313170259968,Muneef Altamimi,b'@Osama_Elzero Literally'
2021-12-14 12:03:51+00:00,1470726225878560772,Sir-Rap-A-Lot,b'RT @TungaDeals: Samsung 55-Inch 55AU8000 Crystal UHD 4K Smart Tv \n- 3840 x 2160 resolution\n- crystal display/crystal processor\n- 4k hdr (hi\xe2\x80\xa6'
2021-12-14 12:03:28+00:00,1470726127454986240,WeeBey100 🕊,b'RT @madornah: I can\xe2\x80\x99t wait until thursday'
2021-12-14 12:02:49+00:00,1470725966536364039,basebox,b'@OSAMA_MU_96 @HassanNatha There were 2 English teams in the final last year mate. Reconsider'
2021-12-14 12:02:40+00:00,1470725928171065353,K0NKA,"b""@polaneckMneck @MsetiSandile @Que_DBN @emteerecords The podcast played a huge role in Zakes Bantwini's new song Osa\xe2\x80\xa6 https://t.co/rOghoIx5EK"""
2021-12-14 12:02:39+00:00,1470725924538798083,Osama_elbasiony,b'RT @CentralBank_KW: CBK-IMF Panel Discussion on Unwinding COVID-19 Measures\nhttps://t.co/ktCWroILmr'
2021-12-14 12:01:43+00:00,1470725688269451270,IAmSwitchKenya,"b'@MGowrl @Azulllaa @Osama_otero @tyrus_ Sense?, how is sense if you get to complain about a thing in your own means can unshackle?'"
2021-12-14 12:00:03+00:00,1470725268067303431,محمود امبارك,"b'RT @CaroHurndall: After a busy week in Misrata &amp; Sirte, I was excited to finally visit #LeptisMagna. I studied archaeology at university, s\xe2\x80\xa6'"
2021-12-14 11:59:15+00:00,1470725066291912706,Monnyx spare parts dealer,"b""@KimaniViaggio @DavidHundeyin They're a little piss \xf0\x9f\x98\x86\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\xb9\xf0\x9f\x98\x86\xf0\x9f\xa4\xa3awon oloriburukus, almanjiris terriost accursed infested\xe2\x80\xa6 https://t.co/iAzlfzxGWS"""
2021-12-14 11:58:29+00:00,1470724876352827399,Lee,"b""@Osama_otero Si we've always known kwa events vitu ni expensive so that's why we pregame? Ama?"""
2021-12-14 11:57:49+00:00,1470724707892797454,Peter Oluoch - Stock Market Investor n Researcher,"b'@Osama_otero @JoyKareyy @Lsankei99 Thick thighs get wrinkles , SAVE AND INVEST. \n\nYou need money.\xe2\x80\xa6 https://t.co/jstU20SMyD'"
2021-12-14 11:56:00+00:00,1470724249115631624,Martin Wakahu Mwangi,b'@Osama_otero \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I hate people who exploit people'
2021-12-14 11:54:21+00:00,1470723833149726729,Nj_Cera,"b""RT @MoseLaGod: I can't wait to see @Osama_otero @ItsJeffreyJeff and @_CrazyNairobian  start a business together. 2022 is your year guys."""
2021-12-14 11:54:01+00:00,1470723749389291522,Osama Jaunpuri,b'RT @iamyusufpathan: Only Indian spinner to take a fifer in all three formats. Wishing @imkuldeep18 a very happy birthday. Good luck for you\xe2\x80\xa6'
2021-12-14 11:53:55+00:00,1470723725523927050,OSAMA🔰 🇱🇾,b'@HassanNatha Any clubs other than Liverpool and English clubs \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2021-12-14 11:53:25+00:00,1470723599208050689,Future,"b'RT @softwarnet: #china \nLijian Zhao - the big he dog of ""Wolf Wankers"" (caught liking gay porn) thinks that Pakistan turning down an invite\xe2\x80\xa6'"
2021-12-14 11:53:23+00:00,1470723590379220993,Sir-Rap-A-Lot,b'We mzee https://t.co/fKgzqfkey7'
2021-12-14 11:53:06+00:00,1470723518329413639,MaterialGOWRL,b'@Switchkenya @Azulllaa @Osama_otero @tyrus_ Oh so you want everyone to go and be self employed\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 I thought I was h\xe2\x80\xa6 https://t.co/MkY6xqBQCj'
2021-12-14 11:52:59+00:00,1470723491657879552,Sir-Rap-A-Lot,b'@Rixviv Last warning\xf0\x9f\x98\xa1'
2021-12-14 11:52:30+00:00,1470723366717992969,Robo JouRnO,b'osama bin today great exposure also my leases are $10 - $30 get at my inbox i forever have new...'
2021-12-14 11:52:22+00:00,1470723334115667968,Zar Ali Khan Afridi,b'@Libertarian2009 @HabibKhanT Every thing can be expected from Pakistan military which deceived world by telling a l\xe2\x80\xa6 https://t.co/TXPZY7zrPu'
2021-12-14 11:52:20+00:00,1470723325001355271,Dj virgodeep,b'RT @ThandekaMdlul10: No because wtf is Zakes Bantwini saying on \xe2\x80\x98 Osama \xe2\x80\x99?'
2021-12-14 11:52:04+00:00,1470723260492963842,Carmelina 🇮🇹🇺🇸🇮🇱🇮🇳,"b'RT @LehiRed: What do Adolf Hitler,  Muammar Gaddafi, Saddam Hussein, Fidel Castro, Kim Jong-un, Osama bin Laden, Ebrahim Raisi (all enemies\xe2\x80\xa6'"
2021-12-14 11:51:01+00:00,1470722993550610432,Charles R. Smith🔹,"b'#china \nLijian Zhao - the big he dog of ""Wolf Wankers"" (caught liking gay porn) thinks that Pakistan turning down a\xe2\x80\xa6 https://t.co/JiqJzdJgjd'"
2021-12-14 11:50:55+00:00,1470722970465222657,Macdonald et al,b'You need to take up your case with President George W Bush and Osama Bin Ladin'
2021-12-14 11:49:50+00:00,1470722697428549634,Splash Brothers 💦Stan Account ❤️,"b'@Osama_otero I have seen these seats on the TL for a while now. Kama haziendi &amp; they are in good condition, why not\xe2\x80\xa6 https://t.co/uT6IPLLctK'"
2021-12-14 11:47:57+00:00,1470722224336388100,Atuti(I.am_Star),"b""RT @MoseLaGod: I can't wait to see @Osama_otero @ItsJeffreyJeff and @_CrazyNairobian  start a business together. 2022 is your year guys."""
2021-12-14 11:47:47+00:00,1470722180820447233,CraigMealy,b'RT @Labelloveuk_: @CraigMealy Bro it\xe2\x80\x99s him causing the negative attention doing it on first place with a manager like Osama Bin Arteta he k\xe2\x80\xa6'
2021-12-14 11:47:29+00:00,1470722104266047493,Osama_elbasiony,b'RT @HukoomiQatar: What is the easiest way to check top events on QND?'
2021-12-14 11:46:51+00:00,1470721945696145414,Sir-Rap-A-Lot,b'@Thee_mavERIC Last warning'
2021-12-14 11:46:09+00:00,1470721771582201856,Sir-Rap-A-Lot,b'THIS!!!!!! https://t.co/HbFDEL5Vyf'
2021-12-14 11:46:03+00:00,1470721746777120768,Zeev 🇮🇱 🇧🇹 Etherlands Ovid-19 Urfew,"b'RT @LehiRed: What do Adolf Hitler,  Muammar Gaddafi, Saddam Hussein, Fidel Castro, Kim Jong-un, Osama bin Laden, Ebrahim Raisi (all enemies\xe2\x80\xa6'"
2021-12-14 11:45:45+00:00,1470721671053066250,(((KravMagaSharkLady))) #ReinstateDuchessofDalston,"b'RT @LehiRed: What do Adolf Hitler,  Muammar Gaddafi, Saddam Hussein, Fidel Castro, Kim Jong-un, Osama bin Laden, Ebrahim Raisi (all enemies\xe2\x80\xa6'"
